irr-B3-1	1 x (irr-A3-1)
irr-B3-7	1 x (irr-A3-1) + 1 x (irr-A3-6)
irr-B3-8	2 x (irr-A3-4)
irr-B3-21	1 x (irr-A3-6) + 1 x (irr-A3-15)
irr-B3-27	1 x (irr-A3-1) + 1 x (irr-A3-6) + 1 x (irr-A3-20b)
irr-B3-35	2 x (irr-A3-10) + 1 x (irr-A3-15)
irr-B3-48	2 x (irr-A3-4) + 2 x (irr-A3-20a)
irr-B3-77	1 x (irr-A3-1) + 1 x (irr-A3-6) + 1 x (irr-A3-20b) + 1 x (irr-A3-50)
irr-B3-105	1 x (irr-A3-6) + 1 x (irr-A3-15) + 1 x (irr-A3-20b) + 1 x (irr-A3-64)
irr-B3-112a	2 x (irr-A3-20a) + 2 x (irr-A3-36)
irr-B3-112b	2 x (irr-A3-20c) + 2 x (irr-A3-36)
