irr-C2-1	1 x (irr-A1-1)
irr-C2-4-q	2 x (irr-A1-2-q)
irr-C2-5	2 x (irr-A1-1) + 1 x (irr-A1-3)
irr-C2-10	1 x (irr-A1-1) + 3 x (irr-A1-3)
irr-C2-14	3 x (irr-A1-1) + 2 x (irr-A1-3) + 1 x (irr-A1-5)
irr-C2-16-q	4 x (irr-A1-2-q) + 2 x (irr-A1-4-q)
irr-C2-20-q	2 x (irr-A1-2-q) + 4 x (irr-A1-4-q)
irr-C2-30	4 x (irr-A1-1) + 3 x (irr-A1-3) + 2 x (irr-A1-5) + 1 x (irr-A1-7)
irr-C2-35a	2 x (irr-A1-1) + 6 x (irr-A1-3) + 3 x (irr-A1-5)
irr-C2-35b	1 x (irr-A1-1) + 3 x (irr-A1-3) + 5 x (irr-A1-5)
irr-C2-40-q	6 x (irr-A1-2-q) + 4 x (irr-A1-4-q) + 2 x (irr-A1-6-q)
irr-C2-55	5 x (irr-A1-1) + 4 x (irr-A1-3) + 3 x (irr-A1-5) + 2 x (irr-A1-7) + 1 x (irr-A1-9)
irr-C2-56-q	2 x (irr-A1-2-q) + 4 x (irr-A1-4-q) + 6 x (irr-A1-6-q)
irr-C2-64-q	4 x (irr-A1-2-q) + 8 x (irr-A1-4-q) + 4 x (irr-A1-6-q)
irr-C2-80-q	8 x (irr-A1-2-q) + 6 x (irr-A1-4-q) + 4 x (irr-A1-6-q) + 2 x (irr-A1-8-q)
irr-C2-81	3 x (irr-A1-1) + 9 x (irr-A1-3) + 6 x (irr-A1-5) + 3 x (irr-A1-7)
irr-C2-84	1 x (irr-A1-1) + 3 x (irr-A1-3) + 5 x (irr-A1-5) + 7 x (irr-A1-7)
irr-C2-105	2 x (irr-A1-1) + 6 x (irr-A1-3) + 10 x (irr-A1-5) + 5 x (irr-A1-7)
irr-C2-140a-q	6 x (irr-A1-2-q) + 12 x (irr-A1-4-q) + 8 x (irr-A1-6-q) + 4 x (irr-A1-8-q)
irr-C2-154	4 x (irr-A1-1) + 12 x (irr-A1-3) + 9 x (irr-A1-5) + 6 x (irr-A1-7) + 3 x (irr-A1-9)
