irr-C3-1	1 x (irr-A2-1)
irr-C3-6-q	2 x (irr-A2-3)
irr-C3-14a	2 x (irr-A2-3) + 1 x (irr-A2-8)
irr-C3-14b-q	2 x (irr-A2-1) + 2 x (irr-A2-6)
irr-C3-21	1 x (irr-A2-1) + 2 x (irr-A2-6) + 1 x (irr-A2-8)
irr-C3-56-q	2 x (irr-A2-3) + 2 x (irr-A2-10) + 2 x (irr-A2-15a)
irr-C3-64-q	2 x (irr-A2-3) + 2 x (irr-A2-6) + 2 x (irr-A2-8) + 2 x (irr-A2-15a)
irr-C3-70	4 x (irr-A2-3) + 1 x (irr-A2-8) + 2 x (irr-A2-10) + 2 x (irr-A2-15a)
irr-C3-84	3 x (irr-A2-1) + 4 x (irr-A2-6) + 2 x (irr-A2-15b) + 1 x (irr-A2-27)
irr-C3-90	1 x (irr-A2-1) + 4 x (irr-A2-6) + 1 x (irr-A2-8) + 2 x (irr-A2-15a) + 1 x (irr-A2-27)
irr-C3-126a-q	4 x (irr-A2-3) + 2 x (irr-A2-8) + 2 x (irr-A2-10) + 2 x (irr-A2-15a) + 2 x (irr-A2-24)
irr-C3-189	2 x (irr-A2-3) + 2 x (irr-A2-6) + 2 x (irr-A2-8) + 2 x (irr-A2-10) + 4 x (irr-A2-15) + 2 x (irr-A2-24) + 1 x (irr-A2-27)
