irr-D4-1	1 x (irr-A2-1)
irr-D4-8a	1 x (irr-A2-8)
irr-D4-8b	1 x (irr-A2-8)
irr-D4-28	1 x (irr-A2-8) + 2 x (irr-A2-10)
irr-D4-35a	1 x (irr-A2-8) + 1 x (irr-A2-27)
irr-D4-35b	1 x (irr-A2-8) + 1 x (irr-A2-27)
irr-D4-56a	1 x (irr-A2-1) + 1 x (irr-A2-8) + 2 x (irr-A2-10) + 1 x (irr-A2-27)
irr-D4-56b	1 x (irr-A2-1) + 1 x (irr-A2-8) + 2 x (irr-A2-10) + 1 x (irr-A2-27)
irr-D4-300	1 x (irr-A2-1) + 1 x (irr-A2-8) + 2 x (irr-A2-10) + 3 x (irr-A2-27) + 2 x (irr-A2-28) + 2 x (irr-A2-35) + 1 x (irr-A2-64)
irr-D4-350	1 x (irr-A2-1) + 3 x (irr-A2-8) + 4 x (irr-A2-10) + 3 x (irr-A2-27) + 4 x (irr-A2-35) + 1 x (irr-A2-64)
