irr-G2-1	1 x (irr-A1-1)
irr-G2-7	1 x (irr-A1-7)
irr-G2-14	1 x (irr-A1-3) + 1 x (irr-A1-11)
irr-G2-27	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13)
irr-G2-64	1 x (irr-A1-5) + 1 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-17)
irr-G2-77a	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-19)
irr-G2-77b	1 x (irr-A1-1) + 1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21)
irr-G2-182	1 x (irr-A1-1) + 1 x (irr-A1-5) + 1 x (irr-A1-7) + 2 x (irr-A1-9) + 1 x (irr-A1-11) + 2 x (irr-A1-13) + 1 x (irr-A1-15) + 2 x (irr-A1-17) + 1 x (irr-A1-19) + 1 x (irr-A1-21) + 1 x (irr-A1-25)
irr-G2-189	1 x (irr-A1-3) + 1 x (irr-A1-5) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 2 x (irr-A1-11) + 2 x (irr-A1-13) + 2 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19) + 1 x (irr-A1-21) + 1 x (irr-A1-23)
irr-G2-273	1 x (irr-A1-3) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 2 x (irr-A1-11) + 1 x (irr-A1-13) + 2 x (irr-A1-15) + 1 x (irr-A1-17) + 2 x (irr-A1-19) + 1 x (irr-A1-21) + 1 x (irr-A1-23) + 1 x (irr-A1-25) + 1 x (irr-A1-27) + 1 x (irr-A1-31)
