vtx-B06-n13-n4-n2	Δ = -13	bi.bi = -4	b0.bi = -2	hypers = 5 x (irr-B6-13)
vtx-B06-45-n2-0	Δ = 45	bi.bi = -2	b0.bi = 0	hypers = 7 x (irr-B6-13) + 0.5 x (irr-B6-64-q)
vtx-B06-103-0-2	Δ = 103	bi.bi = 0	b0.bi = 2	hypers = 9 x (irr-B6-13) + 1 x (irr-B6-64-q)
vtx-B06-161-2-4	Δ = 161	bi.bi = 2	b0.bi = 4	hypers = 11 x (irr-B6-13) + 1.5 x (irr-B6-64-q)
vtx-B06-219-4-6	Δ = 219	bi.bi = 4	b0.bi = 6	hypers = 13 x (irr-B6-13) + 2 x (irr-B6-64-q)
vtx-B06-232-8-8	Δ = 232	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-B6-13) + 2 x (irr-B6-64-q) + 1 x (irr-B6-78)
vtx-B06-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 3 x (irr-B6-13) + 2 x (irr-B6-64-q) + 2 x (irr-B6-78)
vtx-B06-268-16-12	Δ = 268	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-B6-64-q) + 1 x (irr-B6-90)
vtx-B06-277-6-8	Δ = 277	bi.bi = 6	b0.bi = 8	hypers = 15 x (irr-B6-13) + 2.5 x (irr-B6-64-q)
vtx-B06-335-8-10	Δ = 335	bi.bi = 8	b0.bi = 10	hypers = 17 x (irr-B6-13) + 3 x (irr-B6-64-q)
vtx-B06-451-12-14	Δ = 451	bi.bi = 12	b0.bi = 14	hypers = 21 x (irr-B6-13) + 4 x (irr-B6-64-q)
