vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	hypers = 
vtx-F04-n26-n4-n2	Δ = -26	bi.bi = -4	b0.bi = -2	hypers = 1 x (irr-F4-26)
vtx-F04-0-n3-n1	Δ = 0	bi.bi = -3	b0.bi = -1	hypers = 2 x (irr-F4-26)
vtx-F04-26-n2-0	Δ = 26	bi.bi = -2	b0.bi = 0	hypers = 3 x (irr-F4-26)
vtx-F04-52-n1-1	Δ = 52	bi.bi = -1	b0.bi = 1	hypers = 4 x (irr-F4-26)
vtx-F04-78-0-2	Δ = 78	bi.bi = 0	b0.bi = 2	hypers = 5 x (irr-F4-26)
vtx-F04-104-1-3	Δ = 104	bi.bi = 1	b0.bi = 3	hypers = 6 x (irr-F4-26)
vtx-F04-130-2-4	Δ = 130	bi.bi = 2	b0.bi = 4	hypers = 7 x (irr-F4-26)
vtx-F04-156-3-5	Δ = 156	bi.bi = 3	b0.bi = 5	hypers = 8 x (irr-F4-26)
vtx-F04-182-4-6	Δ = 182	bi.bi = 4	b0.bi = 6	hypers = 9 x (irr-F4-26)
vtx-F04-208-5-7	Δ = 208	bi.bi = 5	b0.bi = 7	hypers = 10 x (irr-F4-26)
vtx-F04-208-8-8	Δ = 208	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-234-6-8	Δ = 234	bi.bi = 6	b0.bi = 8	hypers = 11 x (irr-F4-26)
vtx-F04-234-9-9	Δ = 234	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-234-12-10	Δ = 234	bi.bi = 12	b0.bi = 10	hypers = 7 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-234-15-11	Δ = 234	bi.bi = 15	b0.bi = 11	hypers = 5 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-234-18-12	Δ = 234	bi.bi = 18	b0.bi = 12	hypers = 3 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-234-21-13	Δ = 234	bi.bi = 21	b0.bi = 13	hypers = 1 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-260-7-9	Δ = 260	bi.bi = 7	b0.bi = 9	hypers = 12 x (irr-F4-26)
vtx-F04-260-16-12	Δ = 260	bi.bi = 16	b0.bi = 12	hypers = 6 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-260-25-15	Δ = 260	bi.bi = 25	b0.bi = 15	hypers = 6 x (irr-F4-52)
vtx-F04-272-64-24	Δ = 272	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-F4-324)
vtx-F04-286-8-10	Δ = 286	bi.bi = 8	b0.bi = 10	hypers = 13 x (irr-F4-26)
vtx-F04-286-20-14	Δ = 286	bi.bi = 20	b0.bi = 14	hypers = 5 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-312-24-16	Δ = 312	bi.bi = 24	b0.bi = 16	hypers = 4 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-338-28-18	Δ = 338	bi.bi = 28	b0.bi = 18	hypers = 3 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-364-32-20	Δ = 364	bi.bi = 32	b0.bi = 20	hypers = 2 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-390-12-14	Δ = 390	bi.bi = 12	b0.bi = 14	hypers = 17 x (irr-F4-26)
vtx-F04-416-13-15	Δ = 416	bi.bi = 13	b0.bi = 15	hypers = 18 x (irr-F4-26)
vtx-F04-442-14-16	Δ = 442	bi.bi = 14	b0.bi = 16	hypers = 19 x (irr-F4-26)
vtx-F04-468-27-21	Δ = 468	bi.bi = 27	b0.bi = 21	hypers = 12 x (irr-F4-26) + 4 x (irr-F4-52)
